#Abstand (mm)	Feldstärke (V)	Fehler (0,5%+2D)
0.000	2.200	0.011
2.000	2.100	0.011
4.000	1.850	0.009
6.000	1.500	0.008
8.000	1.800	0.009
10.000	1.850	0.009
12.000	1.900	0.010
14.000	1.950	0.010
16.000	2.150	0.011
18.000	2.450	0.012
20.000	2.500	0.013
22.000	1.900	0.010
24.000	1.800	0.009
26.000	2.000	0.010
28.000	2.100	0.011
30.000	2.200	0.011
32.000	2.250	0.011
34.000	2.200	0.011
36.000	2.150	0.011
38.000	1.950	0.010
40.000	1.800	0.009
42.000	1.950	0.010
44.000	2.000	0.010
46.000	2.250	0.011
48.000	2.500	0.013
50.000	2.650	0.013
52.000	2.350	0.012
54.000	2.250	0.011
56.000	1.900	0.010
58.000	2.100	0.011
60.000	2.300	0.012
62.000	2.800	0.014
64.000	3.000	0.015
66.000	3.000	0.015
68.000	2.700	0.014
70.000	2.650	0.013
72.000	2.950	0.015
74.000	2.700	0.014
76.000	3.000	0.015
78.000	3.150	0.016
80.000	3.000	0.015
82.000	3.100	0.016
84.000	3.100	0.016
86.000	2.800	0.014
88.000	2.900	0.015
90.000	3.000	0.015
91.000	3.000	0.015
93.000	3.150	0.016
95.000	3.200	0.016
97.000	3.400	0.017
99.000	3.250	0.016
101.000	3.150	0.016
103.000	3.000	0.015
105.000	3.000	0.015
107.000	3.150	0.016
109.000	3.400	0.017
111.000	3.800	0.019
113.000	3.550	0.018
115.000	3.400	0.017
117.000	3.500	0.018
119.000	3.800	0.019
121.000	3.900	0.020
123.000	3.700	0.019
125.000	3.550	0.018
127.000	3.400	0.017
129.000	4.650	0.023
131.000	4.850	0.024
133.000	4.450	0.022
135.000	4.350	0.022
137.000	4.400	0.022
139.000	4.900	0.025
141.000	5.200	0.026
143.000	5.250	0.026
145.000	4.900	0.025
147.000	4.650	0.023
149.000	5.000	0.025
151.000	5.650	0.028
153.000	5.900	0.030
155.000	5.700	0.029
157.000	5.450	0.027
159.000	5.250	0.026
161.000	5.400	0.027
163.000	5.700	0.029
165.000	6.150	0.031
167.000	6.100	0.031
169.000	6.000	0.030
171.000	6.000	0.030
173.000	6.250	0.031
175.000	6.350	0.032
177.000	6.450	0.032
179.000	6.650	0.033
181.000	6.550	0.033
