#Abstand (mm)	Fehler (mm)	Feldstärke (V)	Fehler (0,5%+2D)	gerundet (V)
0	2	3	0.015	0.02
5	2	7.3	0.0365	0.04
10	2	7.5	0.0375	0.04
15	2	1.3	0.0065	0.007
20	2	5	0.025	0.03
25	2	7.95	0.03975	0.04
30	2	2.6	0.013	0.02
35	2	2.3	0.0115	0.02
40	2	7.2	0.036	0.04
45	2	6.85	0.03425	0.04
50	2	1.7	0.0085	0.01
55	2	5.65	0.02825	0.03
60	2	8	0.04	0.04
65	2	1.95	0.00975	0.01
70	2	3	0.015	0.02
75	2	3.6	0.018	0.02
80	2	7.45	0.03725	0.04
85	2	3.1	0.0155	0.02
90	2	3.75	0.01875	0.02
95	2	7.7	0.0385	0.04
100	2	5.3	0.0265	0.03
